"di_id","Year","P20population"
"BE",2000,
"BE",2001,
"BE",2002,24328
"BE",2003,
"BE",2004,
"BE",2005,24242
"BE",2006,
"BE",2007,
"BE",2008,0
"BE",2009,
"BE",2010,23616
"BE",2011,26156
"BE",2012,27066
"BE",2013,27661
"BE",2014,
"BE",2015,27319
"BE",2016,
"BE",2017,
"BZ",1981,10260
"BZ",1982,
"BZ",1983,
"BZ",1984,16133
"BZ",1985,
"BZ",1986,
"BZ",1987,19502
"BZ",1988,
"BZ",1989,
"BZ",1990,16792
"BZ",1991,
"BZ",1992,
"BZ",1993,14750
"BZ",1994,
"BZ",1995,
"BZ",1996,20167
"BZ",1997,
"BZ",1998,
"BZ",1999,27907
"BZ",2000,
"BZ",2001,
"BZ",2002,26711
"BZ",2003,
"BZ",2004,
"BZ",2005,39223
"BZ",2006,
"BZ",2007,
"BZ",2008,52857
"BZ",2009,
"BZ",2010,56761
"BZ",2011,60124
"BZ",2012,62252
"BZ",2013,67855
"BZ",2014,
"BZ",2015,74076
"BZ",2016,
"BZ",2017,
"BJ",1981,727718
"BJ",1982,
"BJ",1983,
"BJ",1984,1262480
"BJ",1985,
"BJ",1986,
"BJ",1987,1681795
"BJ",1988,
"BJ",1989,
"BJ",1990,1831705
"BJ",1991,
"BJ",1992,
"BJ",1993,2091352
"BJ",1994,
"BJ",1995,
"BJ",1996,2620118
"BJ",1997,
"BJ",1998,
"BJ",1999,2683936
"BJ",2000,
"BJ",2001,
"BJ",2002,2935594
"BJ",2003,
"BJ",2004,
"BJ",2005,3919126
"BJ",2006,
"BJ",2007,
"BJ",2008,4582073
"BJ",2009,
"BJ",2010,5432920
"BJ",2011,5966604
"BJ",2012,6254026
"BJ",2013,6613485
"BJ",2014,
"BJ",2015,7140655
"BJ",2016,
"BJ",2017,
"BT",1981,198330
"BT",1982,
"BT",1983,
"BT",1984,230926
"BT",1985,
"BT",1986,
"BT",1987,195441
"BT",1988,
"BT",1989,
"BT",1990,158034
"BT",1991,
"BT",1992,
"BT",1993,139272
"BT",1994,
"BT",1995,
"BT",1996,121214
"BT",1997,
"BT",1998,
"BT",1999,103244
"BT",2000,
"BT",2001,
"BT",2002,102751
"BT",2003,
"BT",2004,
"BT",2005,61878
"BT",2006,
"BT",2007,
"BT",2008,80325
"BT",2009,
"BT",2010,50212
"BT",2011,43961
"BT",2012,42122
