"di_id","Year","Poorpop","Poorpop.Interp","P20population"
"DZ",1995,,1848932.74147533,
"DZ",1996,1912415.20228935,1912415.20228935,820590.8312943
"DZ",1997,,1888335.54373353,
"DZ",1998,,1864255.8851777,
"DZ",1999,1840176.22662188,1840176.22662188,839680.03014253
"DZ",2000,,1623541.8118587,
"DZ",2001,,1406907.39709552,
"DZ",2002,1190272.98233234,1190272.98233234,682003.2010314
"DZ",2003,,1027559.77537595,
"DZ",2004,,864846.56841956,
"DZ",2005,702133.36146317,702133.36146317,645056.00872986
"DZ",2006,,595758.83937708,
"DZ",2007,,489384.31729099,
"DZ",2008,383009.7952049,383009.7952049,468869.99321415
"DZ",2009,,307956.123229409,
"DZ",2010,232902.451253917,232902.451253917,363591.55638619
"DZ",2011,177703.631918604,177703.631918604,347869.048449636
"DZ",2012,160264.54344681,160264.54344681,349379.65738962
"DZ",2013,149886.14168148,149886.14168148,406806.26414018
"DZ",2014,,143858.554889768,
"DZ",2015,137830.968098056,137830.968098056,458939.62818288
"DZ",2016,,137830.968098056,
"DZ",2017,,137830.968098056,
"AO",1981,2368238.3897953,2368238.3897953,1122759.2419105
"AO",1982,,2463074.30182903,
"AO",1983,,2557910.21386277,
"AO",1984,2652746.1258965,2652746.1258965,1558288.519304
"AO",1985,,2691872.3084598,
"AO",1986,,2730998.4910231,
"AO",1987,2770124.6735864,2770124.6735864,1793852.6572328
"AO",1988,,2872586.01275583,
"AO",1989,,2975047.35192527,
"AO",1990,3077508.6910947,3077508.6910947,1980280.0621149
"AO",1991,,3955440.9908316,
"AO",1992,,4833373.2905685,
"AO",1993,5711305.5903054,5711305.5903054,3967285.4427624
"AO",1994,,5588057.15147413,
"AO",1995,,5464808.71264287,
"AO",1996,5341560.2738116,5341560.2738116,4134017.29446
"AO",1997,,5280479.71820433,
"AO",1998,,5219399.16259707,
"AO",1999,5158318.6069898,5158318.6069898,4088358.8594352
"AO",2000,,5906586.84048263,
"AO",2001,,6654855.07397547,
"AO",2002,7403123.3074683,7403123.3074683,6325744.1972783
"AO",2003,,7602611.683605,
"AO",2004,,7802100.0597417,
"AO",2005,8001588.4358784,8001588.4358784,7825128.6995826
"AO",2006,,7442465.9342916,
"AO",2007,,6883343.4327048,
"AO",2008,6324220.931118,6324220.931118,6894818.201778
"AO",2009,,6730868.8833965,
"AO",2010,7137516.835675,7137516.835675,8434169.4276017
"AO",2011,7342957.502601,7342957.502601,9563615.852007
"AO",2012,7430242.22665,7430242.22665,10076653.830685
"AO",2013,7398316.415792,7398316.415792,10781664.988206
"AO",2014,,7579141.72379425,
"AO",2015,7759967.0317965,7759967.0317965,12335136.322047
"AO",2016,,7759967.0317965,
"AO",2017,,7759967.0317965,
"AM",1981,301388.2541856,301388.2541856,32910.21672984
"AM",1982,,291460.653470517,
"AM",1983,,281533.052755433,
"AM",1984,271605.45204035,271605.45204035,53380.404846
"AM",1985,,285889.64782462,
"AM",1986,,300173.84360889,
"AM",1987,314458.03939316,314458.03939316,93429.3991865
"AM",1988,,337685.12015644,
"AM",1989,,360912.20091972,
"AM",1990,384139.281683,384139.281683,118921.6176315
"AM",1991,,569687.3937372,
"AM",1992,,755235.5057914,
"AM",1993,940783.6178456,940783.6178456,495479.1747636
"AM",1994,,816241.219936233,
"AM",1995,,691698.822026867,
"AM",1996,567156.4241175,567156.4241175,339357.646938
"AM",1997,,551963.426556,
"AM",1998,,536770.4289945,
"AM",1999,521577.431433,521577.431433,288035.23571415
"AM",2000,,500014.7593971,
"AM",2001,,478452.0873612,
"AM",2002,456889.4153253,456889.4153253,272138.86191768
"AM",2003,,348668.48279553,
"AM",2004,,240447.55026576,
"AM",2005,132226.61773599,132226.61773599,121656.71301444
"AM",2006,,101309.038752727,
"AM",2007,,70391.4597694633,
"AM",2008,39473.8807862,39473.8807862,47877.5314626
"AM",2009,,47118.741045605,
"AM",2010,54763.60130501,54763.60130501,109660.82493286
"AM",2011,63650.32405137,63650.32405137,143460.75193911
"AM",2012,45522.72463512,45522.72463512,160434.95504446
"AM",2013,64829.90826261,64829.90826261,207597.06014202
"AM",2014,,59590.281263805,
"AM",2015,54350.654265,54350.654265,226405.608218
"AM",2016,,54350.654265,
"AM",2017,,54350.654265,
"AU",1981,148300.207737,148300.207737,74030.769967
"AU",1982,,149694.757699333,
"AU",1983,,151089.307661667,
"AU",1984,152483.857624,152483.857624,104370.949656
"AU",1985,,148308.452264767,
"AU",1986,,144133.046905533,
"AU",1987,139957.6415463,139957.6415463,99875.3250519
"AU",1988,,137997.703879,
"AU",1989,,136037.7662117,
"AU",1990,134077.8285444,134077.8285444,92177.8373191
"AU",1991,,142969.9779326,
"AU",1992,,151862.1273208,
"AU",1993,160754.276709,160754.276709,117650.047437
"AU",1994,,152909.614536667,
"AU",1995,,145064.952364333,
"AU",1996,137220.290192,137220.290192,137220.290192
"AU",1997,,138681.751017333,
"AU",1998,,140143.211842667,
"AU",1999,141604.672668,141604.672668,141604.672668
"AU",2000,,151547.493227133,
"AU",2001,,161490.313786267,
"AU",2002,171433.1343454,171433.1343454,171433.1343454
"AU",2003,,168545.681707333,
"AU",2004,,165658.229069267,
"AU",2005,162770.7764312,162770.7764312,162770.7764312
"AU",2006,,143876.238364133,
"AU",2007,,124981.700297067,
"AU",2008,106087.16223,106087.16223,106087.16223
"AU",2009,,107906.53823475,
"AU",2010,109725.9142395,109725.9142395,109725.9142395
"AU",2011,111261.227888496,111261.227888496,111261.227888496
"AU",2012,113194.750721916,113194.750721916,113194.750721916
"AU",2013,115132.601482962,115132.601482962,115132.601482962
"AU",2014,,116805.963074307,
"AU",2015,118479.324665652,118479.324665652,118479.324665652
"AU",2016,,118479.324665652,
"AU",2017,,118479.324665652,
"AT",1981,36549.73957518,36549.73957518,17381.33059112
"AT",1982,,36538.027499844,
"AT",1983,,36526.315424508,
"AT",1984,36514.603349172,36514.603349172,17364.621460848
"AT",1985,,36535.773939444,
"AT",1986,,36556.944529716,
