"HC","growth13to15rt"
1,0.0076923076923077
2,0.0111111111111111
3,0.0138888888888889
4,0.016260162601626
5,0.0147058823529411
6,0.0205479452054795
7,0.0192307692307692
8,0.0212121212121212
9,0.023121387283237
10,0.0248618784530386
11,0.0238095238095238
12,0.0280612244897959
13,0.0295566502463054
14,0.0309523809523809
15,0.0322580645161291
16,0.0288888888888889
17,0.0324675324675325
18,0.0336134453781513
19,0.0326530612244897
20,0.0317460317460318
21,0.0328185328185328
22,0.0338345864661654
23,0.0328467153284671
24,0.0355871886120996
25,0.0346020761245674
26,0.0371621621621622
27,0.0361842105263157
28,0.0351437699680512
29,0.0373831775700935
30,0.0363636363636364
31,0.0369822485207101
32,0.0374639769452449
33,0.0379213483146067
34,0.0382513661202186
35,0.0372340425531915
36,0.0375647668393783
37,0.0377833753148614
38,0.0379901960784313
39,0.0381861575178997
40,0.0395348837209302
41,0.0395927601809954
42,0.0407488986784141
43,0.0406852248394004
44,0.0406250000000001
45,0.0404858299595141
46,0.0403543307086614
47,0.0401529636711281
48,0.0398886827458257
49,0.0396396396396397
50,0.0393356643356643
51,0.0398981324278439
52,0.0394736842105263
53,0.0390749601275917
54,0.0386398763523957
55,0.0381736526946108
56,0.0369030390738061
57,0.0364145658263306
58,0.0365853658536585
59,0.0359947643979057
60,0.0353982300884956
61,0.0347985347985348
62,0.0335689045936396
63,0.0329545454545455
64,0.0323110624315444
65,0.0268703898840885
66,0.0324543610547668
67,0.024390243902439
68,0.0232558139534884
69,0.0340909090909091
70,0.0326086956521739
71,0.03125
72,0.0196078431372549
73,0.0283018867924528
74,0.0178571428571429
75,0.0258620689655172
76,0.0245901639344262
77,0.0234375
78,0.0147058823529412
79,0.0138888888888889
80,0.0197368421052632
81,0.0123456790123457
82,0.0174418604651163
83,0.0108695652173913
84,0.0153061224489796
85,0.0104463437796771
86,0.0106382978723405
87,0.0103220478943022
88,0.0131274131274131
89,0.00859598853868197
90,0
91,0
92,0.0113636363636364
93,0.0104166666666667
94,0.00961538461538462
95,0.00862068965517241
96,0.00769230769230769
97,0.0135135135135135
98,0.0113636363636364
99,0.0129310344827586
99.1,0.0166666666666667
99.2,0.02
99.3,0.0151515151515152
99.4,0.0179856115107914
99.5,0.0167785234899329
99.6,0.021875
99.7,0.019774011299435
99.8,0.0197044334975369
99.9,0.027027027027027
