RequestYear,CLB,group.poor.pop,total.poor.pop,share.of.poor
2010,0,791767724.348586,1069006884.77678,0.740657273235351
2010,1,277239160.428192,1069006884.77678,0.259342726764649
2015,0,421825763.456783,720457275.075439,0.585497264098852
2015,1,298631511.618656,720457275.075439,0.414502735901149
