RequestYear,LDC,group.poor.pop,total.poor.pop,share.of.poor
2010,0,749737882.368953,1069006884.77678,0.70134055546846
2010,1,319269002.407825,1069006884.77678,0.29865944453154
2015,0,405183986.922304,720457275.075439,0.562398355794072
2015,1,315273288.153135,720457275.075439,0.437601644205928
