"CountryName","PopTotal2020","PopTotal2030","BaseHC2030","RegionCode","PlusOneHC2030","MinusOneHC2030","BaseHC2020","pop2030","pop2020","basepoorpop","plusonepop","minusonepop","basepoorpop2020","frag"
"Jamaica",2913.16,2932.629,62,"LAC",0.007852581,0.01434513,0.009334959,2.932629,2.91316,181.822998,0.023028706765449,0.04206894424677,0.02719422916044,0
"Japan",126495.647,121580.505,63,"OHI",0.00220788,0.00220788,0.00220788,121.580505,126.495647,7659.571815,0.2684351653794,0.2684351653794,0.27928720909836,0
"Jordan",10208.662,11122.063,64,"MNA",0.0004085488,0.001027426,0.0004600598,11.122063,10.208662,711.812032,0.0045439054921744,0.011427096699838,0.0046965949979876,0
"Kazakhstan",18777.139,20301.322,8,"ECA",0,0,0,20.301322,18.777139,162.410576,0,0,0,0
"Kenya",53491.697,66959.993,65,"SSA",0.03428746,0.06469717,0.04865702,66.959993,53.491697,4352.399545,2.29588808158778,4.33212205031981,2.60274657076294,1
"Kiribati",122.439,141.538,66,"EAP",0.02009329,0.03599227,0.0315839,0.141538,0.122439,9.341508,0.00284396408002,0.00509427391126,0.0038671011321,0
"Kuwait",4302.875,4873.674,,"OHI",,,,4.873674,4.302875,,,,,0
"Kyrgyz Republic",6301.718,6997.284,69,"ECA",0.001299602,0.003036617,0.002076861,6.997284,6.301718,482.812596,0.009093684280968,0.021248071548228,0.013087792347198,0
"Lao People's Democratic Republic",7164.822,8048.698,70,"EAP",0.0006296632,0.001118205,0.0009085796,8.048698,7.164822,563.40886,0.0050679689385136,0.00900009434709,0.0065098111068312,1
"Latvia",1892.993,1747.192,71,"ECA",0.004549141,0.004549141,0.004549141,1.747192,1.892993,124.050632,0.007948222762072,0.007948222762072,0.008611492069013,0
"Lebanon",6019.795,5368.598,8,"MNA",0,0,0,5.368598,6.019795,42.948784,0,0,0,0
"Lesotho",2322.217,2607.957,72,"SSA",0.3968507,0.4896797,0.4480774,2.607957,2.322217,187.772904,1.0349695610199,1.2770636013729,1.0405329555958,0
"Liberia",5103.853,6495.377,73,"SSA",0.1266099,0.2450727,0.181172,6.495377,5.103853,474.162521,0.8223790324323,1.5918395789079,0.924675255716,1
"Libya",6662.173,7342.346,,"MNA",,,,7.342346,6.662173,,,,,1
"Liechtenstein",38.645,40.918,,"OHI",,,,0.040918,0.038645,,,,,0
"Lithuania",2852.478,2717.731,74,"ECA",0.004889042,0.007482589,0.004889042,2.717731,2.852478,201.112094,0.013287101003702,0.020335664085559,0.013945884746076,0
"Luxembourg",603.944,674.864,75,"OHI",0.002011616,0.002011616,0.002011616,0.674864,0.603944,50.6148,0.001357567220224,0.001357567220224,0.001214903413504,0
"Madagascar",27690.798,35591.943,77,"SSA",0.3708798,0.5063592,0.4357222,35.591943,27.690798,2740.579611,13.2003327014514,18.0223077839256,12.0654954243156,1
"Malawi",20283.691,26578.247,78,"SSA",0.3063232,0.4302352,0.3679381,26.578247,20.283691,2073.103266,8.1415336714304,11.4348974136944,7.4631427275271,1
"Malaysia",32869.323,36814.968,79,"EAP",0,4.04444e-06,1.149238e-06,36.814968,32.869323,2908.382472,0,0.00014889592917792,3.7774675025874e-05,0
"Maldives",458.909,511.766,80,"SAS",0.0001565684,0.001629082,0.001093293,0.511766,0.458909,40.94128,8.01263837944e-05,0.000833708778812,0.000501721997337,0
"Mali",20284.18,27057.112,81,"SSA",0.03471514,0.08808491,0.05553347,27.057112,20.28418,2191.626072,0.93929143107568,2.38332327537992,1.1264509015046,1
"Malta",434.363,439.963,8,"OHI",0,0,0,0.439963,0.434363,3.519704,0,0,0,0
"Marshall Islands",53.251,55.634,,"EAP",,,,0.055634,0.053251,,,,,0
"Mauritania",4783.767,6076.668,82,"SSA",0.007702146,0.01396409,0.009954669,6.076668,4.783767,498.286776,0.046803384129528,0.08485513885212,0.047620817058123,1
"Mauritius",1274.114,1286.934,8,"SSA",0,0.0003535658,0,1.286934,1.274114,10.295472,0,0.0004550158492572,0,0
"Mexico",133870.027,147540.127,83,"LAC",0.007176152,0.01366819,0.01026763,147.540127,133.870027,12245.830541,1.0587703774513,2.01660648846013,1.37452790532601,0
"Micronesia",541.207,588.6,,"EAP",,,,0.5886,0.541207,,,,,0
"Micronesia, Federated States of",107.774,117.43,84,"EAP",0.07646934,0.1148769,0.09548228,0.11743,0.107774,9.86412,0.0089797945962,0.013489994367,0.01029050724472,
"Monaco",39.297,41.362,,"OHI",,,,0.041362,0.039297,,,,,0
"Mongolia",3209.404,3560.959,8,"EAP",0,0,0,3.560959,3.209404,28.487672,0,0,0,0
"Montenegro",629.397,624.702,8,"ECA",0,0,0,0.624702,0.629397,4.997616,0,0,0,0
"Morocco",37070.718,40873.592,85,"MNA",0.0002480399,0.001267865,0.0006081131,40.873592,37.070718,3474.25532,0.0101382816723208,0.05182219672108,0.0225431892422058,0
"Mozambique",32309.195,42438.703,86,"SSA",0.2060837,0.3037843,0.2527341,42.438703,32.309195,3649.728458,8.7459249374411,12.8922116837629,8.1656353200495,1
"Myanmar",54808.276,58915.869,87,"EAP",0.000269994,0.000990317,0.0006661696,58.915869,54.808276,5125.680603,0.015906931134786,0.058345386640473,0.0365116072996096,1
