"requestYear","Global.Consumption.Floor"
1999,0.9944796441683
2002,1.00873249327834
2005,1.03260314348682
2008,1.04496690494807
2010,1.03816855668455
2011,1.02361489983283
2012,1.02417899851669
2013,1.0038050239794
2015,0.986424067039986
