"requestYear","Restaverage","P20average"
2002,14.4656612143921,1.1426044575
2005,15.345408783524,1.299953907
2008,16.4835593657534,1.3939324
2010,16.8046826811918,1.482781604
2011,17.0670550356079,1.5741305425
2012,17.3331914932038,1.6251408765
2013,17.715586563,1.717253748
2015,18.3787726505205,1.806328576
