"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","P20Headcount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10","ConsumptionFloor","diff","P20Threshold","P20Threshold.1","P20Threshold.2","ExtPovHC","LMPovHC","UMPovHC","NP20.Threshold","HeadCount","NP20PG","pop","P20pop","P20average","restpop","restaverage","NP20pop","NP20average","Nrestaverage","Global.Consumption.Floor","Global.Ext.HC"
0,1,"BEL","Belgium","OHI","N",1981,2003,"Y",0.879014,1.9,918.5506,0.004962496,0.002071025,0.001363102,0.003595371,0.2814264,819.7619,0.1450443,-1,9.858982,"BEL_N2003Y",0.03284,0.05271,0.0646,0.07461,0.08443,0.09426,0.106,0.1211,0.1472,0.2223,0.649462802235608,0.195037504,1.9,1.9,1.9,0.004962496,,,1.9,0.004962496,0.002071025,9858982,48925.158739072,1.10706283692722,7887185.6,30.3440120792838,1971796.4,1.8803252625,37.2785734788956,0.87360706070596,0.4224848
0,1,"BLZ","Belize","LAC","N",1981,1993,"Y",1.182611,1.9,272.2305,0.1441956,0.06501653,0.04167346,0.1088413,0.6025399,135.4174,0.7124081,-1,0.147566,"BLZ_N1993Y",0.008472,0.02114,0.02854,0.03667,0.04525,0.05523,0.07056,0.09123,0.1316,0.5113,0.682162413158623,0.0558044,1.9,1.9,1.9,0.1441956,,,1.95,0.1615215,0.06712452,147566,21278.3679096,1.04330668203468,118052.8,10.2822602952455,29513.2,1.24553593,10.8761708120205,0.87360706070596,0.4224848
0,1,"BEN","Benin","SSA","N",1981,2003,"X",224.9172,1.9,69.10618,0.5750665,0.2074585,0.09797709,0.2904843,0.385782,51.67805,0.2463929,-1,3.820128,"BEN_N2003X",0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112,1.00268091690627,0.3750665,1.9,1.9,1.9,0.5750665,,,1.9,0.5750665,0.2074585,3820128,2196827.638512,1.21456422865877,3056102.4,3.70300011648882,764025.6,-0.0708557499999998,2.8576939375,0.87360706070596,0.4224848
0,1,"BTN","Bhutan","SAS","N",1981,2003,"X",16.96291,1.9,46.10651,0.7795229,0.3853202,0.2274277,0.606412,0.40898,32.60089,0.272455,-1,0.42038,"BTN_N2003X",0.02813,0.0372,0.04557,0.0541,0.06501,0.07725,0.09501,0.1182,0.1573,0.3222,0.778562219162141,0.5795229,1.9,1.9,1.9,0.7795229,,,1.9,0.7795229,0.3853202,420380,327695.836702,0.960825050809925,336304,3.47811784422702,84076,-1.7605419,2.33492355719178,0.87360706070596,0.4224848
0,0,"BOL","Bolivia","LAC","N",1981,1990.5,"Y",2.906106,1.9,253.8208,0.05075251,0.006385603,0.001146229,0.006679562,0.4203572,183.2862,0.297862,0.3953767,5.711599,"BOL_N1990Y",0.02324,0.03294,0.04296,0.05367,0.06563,0.07968,0.09738,0.1222,0.1649,0.3174,1.5589460541158,0.14924749,1.9,1.9,1.9,0.05075251,,,1.95,0.05674041,0.007599852,5711599,289877.98536349,1.66094491287229,4569279.2,8.70215237688701,1142319.8,1.825901443,9.97451642007192,0.87360706070596,0.4224848
0,0,"BWA","Botswana","SSA","N",1981,1985.57,"X",4.438053,1.9,92.48302,0.5411667,0.2539455,0.1485335,0.410116,0.5421211,52.30024,0.5227733,0.5229876,1.038397,"BWA_N1985X",0.01434,0.02162,0.02975,0.03909,0.0502,0.06403,0.08243,0.1097,0.1595,0.4293,0.788684186173805,0.3411667,1.9,1.9,1.9,0.5411667,,,1.9,0.5411667,0.2539455,1038397,561945.8777799,1.00841437582911,830717.6,5.43730667289322,207679.4,-0.51248225,3.92879261729452,0.87360706070596,0.4224848
0,1,"BRA","Brazil","LAC","N",1981,1981,"Y",1.658783,1.9,246.705,0.2139371,0.08632669,0.05058794,0.1102894,0.5795192,127.637,0.6793446,-1,124.030908,"BRA_N1981Y",0.008372,0.01835,0.02633,0.03522,0.04576,0.0589,0.07738,0.1066,0.1642,0.4589,0.786589002775387,0.0139371,1.9,1.9,1.9,0.2139371,,,1.9,0.2139371,0.08632669,124030908,26534812.7678868,1.13332273364461,99224726.4,10.0098726654934,24806181.6,1.079896445,9.86858753258562,0.87360706070596,0.4224848
0,0,"BGR","Bulgaria","ECA","N",1981,1989,"X",0.765068,1.9,570.2361,0.0005963724,0.0005863724,0.0005763724,0,0.2342719,519.941,0.08979578,0.1936653,8.891117,"BGR_N1989X",0.04565,0.0589,0.06918,0.07818,0.08681,0.0958,0.106,0.1192,0.1399,0.2003,0.0324026164942277,0.1994036276,1.9,1.9,1.9,0.0005963724,,,1.95,0.0006140657,0.0006095633,8891117,5302.4167839708,0.0318592879214397,7112893.6,18.7586563640947,1778223.4,1.894056757825,22.9608460845164,0.87360706070596,0.4224848
0,1,"BFA","Burkina Faso","SSA","N",1981,1994.25,"X",222.242,1.9,36.65519,0.8562206,0.5211241,0.3539272,0.9211641,0.4807249,21.98715,0.3852556,-1,6.98516,"BFA_N1994X",0.02246,0.03285,0.03968,0.04696,0.05497,0.06543,0.08115,0.1065,0.1554,0.3947,0.609593971954089,0.6562206,1.9,1.9,1.9,0.8562206,,,1.9,0.8562206,0.5211241,6985160,5980837.886296,0.743597327604592,5588128,3.95340909049767,1397032,-3.05067895,2.26904740873288,0.87360706070596,0.4224848
0,0,"BDI","Burundi","SSA","N",1981,1992,"X",487.3273,1.9,39.22869,0.846095,0.4063658,0.23128,0.6354493,0.3333381,31.86121,0.1824366,0.2822712,4.223195,"BDI_N1992X",0.03414,0.04526,0.05545,0.06542,0.07575,0.08721,0.101,0.1195,0.1505,0.2658,0.818629471279325,0.646095,1.9,1.9,1.9,0.846095,,,1.9,0.846095,0.4063658,4223195,3573224.173525,0.987460604305663,3378556,2.95133281026856,844639,-1.9604751,2.10225672020548,0.87360706070596,0.4224848
